author,viewcount,num,av,max_viewcount,fans
883968,53469536,16,42357872,6475247,5229997.0
38002736,26953453,123,35554115,2733634,483126.0
413594712,24568816,285,51451765,1211970,
35954237,24026149,177,38650121,2187081,
306133362,16626218,1492,37476942,1915137,
71581453,15427821,45,41164492,1660032,
366442936,14480335,61,37455269,2129065,
356647623,13748316,75,44768585,2136862,
3096355,8731164,192,48511244,970308,
172392717,8089512,68,45963707,292738,
404023973,7892946,260,51432181,314020,
354179045,7495480,72,37425014,648138,
358575896,7413602,361,50210018,502313,
38919718,7271563,7,36739301,2392544,
90687168,7233620,36,41725509,3570363,
13777941,7227909,66,35313587,3098792,
218502330,6723754,108,39049762,1052833,
69838123,6709218,147,50762895,447636,
3670216,6295114,28,40457861,549443,
388069717,6257014,136,37333330,1249199,
99807728,6100278,96,45135306,1149561,
276811081,6040522,5,40872383,5251241,
28698240,5990072,30,37791567,2694118,
321770873,5799881,24,35181566,1290722,
274412048,5601603,65,47300081,290828,
360679547,5582342,18,35834081,1625163,
324470562,5509263,2,35583081,5505894,
267470577,5505679,110,40197760,701004,
385874803,5425863,1528,52146539,1934922,
40085499,5333235,39,37983088,1208359,
381885201,5192661,67,35534737,1763976,
49871268,5171104,272,39345293,445451,
7939639,5075485,13,39671067,3115446,
22783271,5025746,92,36098374,766857,
14016058,5009799,29,40697711,251843,
94194549,4924057,44,40248320,712284,
19831441,4905109,540,35179803,146049,
182148016,4904140,124,38027615,302055,
67090174,4773977,64,36101560,2369813,
138832847,4703839,16,44658462,1043064,
374365873,4544969,3,35931263,4317639,
367435270,4450001,19,40468236,1192894,
381285305,4286237,334,46708728,216584,
209708163,4194952,9,48797391,899880,
383547718,4193427,35,38607621,486949,
336666099,4162095,18,38597147,602914,
31792578,4159880,4,35904542,3941338,
389662055,4143340,43,39534747,1190917,
142371069,4135977,97,37071225,450729,
15429781,3974078,24,38785704,692438,
5101173,3950222,123,38656543,365171,
296109627,3909823,11,36892021,3030661,
8843117,3800744,63,39225399,807995,
927587,3793197,13,42481100,424127,
20917661,3768100,8,36156235,930950,
384178759,3694164,171,36368207,574979,
362466988,3688476,101,40149221,606457,
35581334,3663697,59,40495771,298776,
56188019,3644570,42,38879901,584952,
388283426,3629788,113,36989677,1737823,
2423927,3621739,55,45067318,504583,
45578476,3574026,25,37253219,1695398,
8409050,3559839,61,38865956,615964,
5423238,3541510,51,36766506,664638,
11441652,3540791,22,42523237,739872,
60897834,3521147,276,41546602,87977,
384942204,3477643,141,36514659,402141,
108758599,3441848,386,36656965,1798387,
15080107,3424808,26,51454575,724365,
393517515,3407319,1950,39788268,194433,
11864874,3370991,52,39962084,576546,
384642674,3357872,308,49586821,263991,
382512891,3356638,117,36336626,702412,
69292440,3352707,36,35929531,1425956,
16758145,3348698,50,39107385,309689,
36236270,3334796,13,37118377,2337310,
384442176,3288696,74,39194268,454909,
413679898,3263459,45,49787309,1320833,
17767048,3258179,97,40300191,698170,
324753357,3254103,82,47005374,386145,
26211752,3252302,65,48856727,1102018,
67801690,3218460,2,43511859,3147819,
179844404,3118391,17,39746233,1516862,
389869362,3037873,4,46078989,2032842,
3771908,3026684,36,36302206,1126992,
203337614,3023022,12,35746153,606902,
381702392,3019272,85,48743164,1602981,
122415336,3015380,17,38448085,2585711,
284597007,2975987,1,46939952,2975987,
77535248,2974026,60,49075211,170373,
383752596,2973287,45,39386348,577446,
67597484,2954078,11,36163159,2450681,
303246917,2924147,15,37931157,2073960,
12971095,2911515,1,46565391,2911515,
128774069,2887839,144,39503361,167228,
165907409,2857650,150,36884231,352674,
374370550,2840865,1,49289731,2840865,
4007578,2829344,5,43666232,2107970,
60094595,2809098,74,42129662,231843,
355832260,2807283,17,50159739,1684829,
331343858,2786907,22,47886470,444543,
345883749,2772313,93,36067475,1145417,
40328712,2767204,3,44589850,2354610,
21241770,2766988,54,39780355,584881,
371717948,2719320,64,40480631,496330,
10108554,2714681,92,36808093,398667,
150256471,2707213,10,35528397,1005327,
382317435,2696040,23,37815450,559129,
24343987,2656674,28,39507788,481871,
313620887,2629303,6,35800272,717653,
