author,viewcount,num,av,max_viewcount,fans,tot_num
883968,53469536,16,42357872,6475247,5230442,83.0
38002736,26953453,123,35554115,2733634,483014,145.0
413594712,24568816,285,51451765,1211970,101710,
35954237,24026149,177,38650121,2187081,226419,
306133362,16626218,1492,37476942,1915137,4473,
71581453,15427821,45,41164492,1660032,38054,
366442936,14480335,61,37455269,2129065,44768,
356647623,13748316,75,44768585,2136862,57299,
3096355,8731164,192,48511244,970308,6340,
172392717,8089512,68,45963707,292738,321240,
404023973,7892946,260,51432181,314020,23910,
354179045,7495480,72,37425014,648138,6004,
358575896,7413602,361,50210018,502313,2096,
38919718,7271563,7,36739301,2392544,135160,
90687168,7233620,36,41725509,3570363,2709,
13777941,7227909,66,35313587,3098792,25371,
218502330,6723754,108,39049762,1052833,2781,
69838123,6709218,147,50762895,447636,6528,
3670216,6295114,28,40457861,549443,401051,
388069717,6257014,136,37333330,1249199,1770,
99807728,6100278,96,45135306,1149561,11114,
276811081,6040522,5,40872383,5251241,6323,
28698240,5990072,30,37791567,2694118,38872,
321770873,5799881,24,35181566,1290722,112472,
274412048,5601603,65,47300081,290828,91995,
360679547,5582342,18,35834081,1625163,4436,
324470562,5509263,2,35583081,5505894,10954,
267470577,5505679,110,40197760,701004,1458,
385874803,5425863,1528,52146539,1934922,5860,
40085499,5333235,39,37983088,1208359,2879,
381885201,5192661,67,35534737,1763976,2341,
49871268,5171104,272,39345293,445451,5038,
7939639,5075485,13,39671067,3115446,4889,
22783271,5025746,92,36098374,766857,4208,
14016058,5009799,29,40697711,251843,268334,
94194549,4924057,44,40248320,712284,220827,
19831441,4905109,540,35179803,146049,4885,
182148016,4904140,124,38027615,302055,3139,
67090174,4773977,64,36101560,2369813,167356,
138832847,4703839,16,44658462,1043064,668746,
374365873,4544969,3,35931263,4317639,2134,
367435270,4450001,19,40468236,1192894,10706,
381285305,4286237,334,46708728,216584,748,
209708163,4194952,9,48797391,899880,187855,
383547718,4193427,35,38607621,486949,10739,
336666099,4162095,18,38597147,602914,205174,
31792578,4159880,4,35904542,3941338,3144,
389662055,4143340,43,39534747,1190917,1946,
142371069,4135977,97,37071225,450729,240450,
15429781,3974078,24,38785704,692438,12273,
5101173,3950222,123,38656543,365171,573,
296109627,3909823,11,36892021,3030661,2856,
8843117,3800744,63,39225399,807995,11305,
927587,3793197,13,42481100,424127,3232946,
20917661,3768100,8,36156235,930950,5131,
384178759,3694164,171,36368207,574979,2128,
362466988,3688476,101,40149221,606457,11293,
35581334,3663697,59,40495771,298776,735038,
56188019,3644570,42,38879901,584952,2543,
388283426,3629788,113,36989677,1737823,3373,
2423927,3621739,55,45067318,504583,30444,
45578476,3574026,25,37253219,1695398,24163,
8409050,3559839,61,38865956,615964,1181,
5423238,3541510,51,36766506,664638,1358,
11441652,3540791,22,42523237,739872,16765,
60897834,3521147,276,41546602,87977,36873,
384942204,3477643,141,36514659,402141,1553,
108758599,3441848,386,36656965,1798387,1586,
15080107,3424808,26,51454575,724365,513562,
393517515,3407319,1950,39788268,194433,1554,
11864874,3370991,52,39962084,576546,804,
384642674,3357872,308,49586821,263991,7127,
382512891,3356638,117,36336626,702412,1117,
69292440,3352707,36,35929531,1425956,15908,
16758145,3348698,50,39107385,309689,76718,
36236270,3334796,13,37118377,2337310,1427,
384442176,3288696,74,39194268,454909,40687,
413679898,3263459,45,49787309,1320833,1190,
17767048,3258179,97,40300191,698170,5311,
324753357,3254103,82,47005374,386145,417013,
26211752,3252302,65,48856727,1102018,2940,
67801690,3218460,2,43511859,3147819,748,
179844404,3118391,17,39746233,1516862,3401,
389869362,3037873,4,46078989,2032842,1693,
3771908,3026684,36,36302206,1126992,25148,
203337614,3023022,12,35746153,606902,772694,
381702392,3019272,85,48743164,1602981,1011,
122415336,3015380,17,38448085,2585711,5751,
284597007,2975987,1,46939952,2975987,2361,
77535248,2974026,60,49075211,170373,80487,
383752596,2973287,45,39386348,577446,14053,
67597484,2954078,11,36163159,2450681,744,
303246917,2924147,15,37931157,2073960,5003,
12971095,2911515,1,46565391,2911515,11884,
128774069,2887839,144,39503361,167228,35181,
165907409,2857650,150,36884231,352674,2229,
374370550,2840865,1,49289731,2840865,779,
4007578,2829344,5,43666232,2107970,5279,
60094595,2809098,74,42129662,231843,20001,
355832260,2807283,17,50159739,1684829,16387,
331343858,2786907,22,47886470,444543,36647,
345883749,2772313,93,36067475,1145417,2484,
40328712,2767204,3,44589850,2354610,6819,
21241770,2766988,54,39780355,584881,2680,
371717948,2719320,64,40480631,496330,531,
10108554,2714681,92,36808093,398667,1936,
150256471,2707213,10,35528397,1005327,2416,
382317435,2696040,23,37815450,559129,2113,
24343987,2656674,28,39507788,481871,20406,
313620887,2629303,6,35800272,717653,2311,
12259879,2597769,2,39344141,2522618,3573,
13809929,2560212,1758,37384359,73874,26860,
386542535,2539145,61,45083201,537269,3487,
156506880,2527590,43,44149557,413398,31046,
389057193,2503957,61,41207626,371550,854,
396636006,2501499,10,50268285,1469018,723,
128557413,2499524,240,42323523,57558,110060,
380554481,2478982,20,37420410,638320,25413,
36179809,2451623,5,48348061,2451204,1633,
654006,2441670,36,35396111,266265,117499,
10416161,2433411,50,49505113,228950,16603,
381743824,2414518,25,36338071,510707,2521,
30612032,2402105,52,36662328,849363,768,
6785254,2372854,27,37365495,519293,847,
313700982,2339955,144,40338168,451294,1296,
242198567,2327898,104,40977632,286545,633,
322614247,2322207,4,36890412,2074473,3817,
386912417,2312802,25,36211570,267130,2044,
386346565,2302707,101,35875096,606906,493,
40305856,2271160,4,39732812,1517459,108684,
254570733,2268272,21,50531689,460319,1835,
179503359,2266047,66,37145615,501566,6589,
401143604,2262413,14,46239579,2222303,1220,
12582074,2256459,37,37846591,559602,8433,
403537994,2239006,7,44709544,820366,14059,
363548801,2231131,65,38026460,662484,6864,
37926965,2229052,44,39018942,227604,14793,
325667132,2227766,2157,45165140,80076,4055,
50073071,2223863,100,36408142,444777,4403,
28259096,2220202,23,47836655,142419,196491,
130259328,2211013,10,41870416,909695,4653,
383612219,2184407,3,37596115,1935084,14876,
334539070,2179933,97,39844978,249732,1532,
386877831,2151006,6,40812011,1282541,831,
18634749,2135071,23,36281330,507336,1429,
304235817,2132905,195,49264880,421504,5021,
337463215,2122704,89,38289441,326397,1620,
21695836,2120253,15,36551870,499099,1067,
96233714,2109900,35,48737752,455019,13096,
27423574,2096808,51,48262958,575478,710,
330078883,2096427,1,39079160,2096427,6494,
35167214,2092090,62,39185000,316108,13166,
