authorid,authorname,sum_pts,num_video,av,hottest_title,max_pt_single_video
375375,伊丽莎白鼠,21729387.73,59,3327562,【全明星Rap】黑喂狗！,3147810.75
7792521,还有一天就放假了,14888048.34,96,21061574,【面筋哥×波澜哥】我的烤面筋，融化你的心！,4214183.55
185546,小可儿,13589909.2,126,19390801,【春晚鬼畜】赵本山：我就是念诗之王！【改革春风吹满地】,7061615.3
6171645,OELoop,12610405.37,91,21433484,【面筋哥】 饿狼传说,1093372.625
398510,泽野螳螂,12267058.88,55,31252459,电视剧《火力种田王2》——悠悠球个人无规则格斗赛,1480791.2
51766,茶几君梦二,9986095.605,94,18193325,【五五开】穷开挂,2096028.225
19071708,潮汕好男人,9922168.913,98,22283476,【王境泽】王妃,470531.55
7714,女孩为何穿短裙,8818567.413,34,14896560,【全明星】刘为何开枪打死曹,746306.775
1770706,瞬间爆炸型LowSing,8590491.039,185,2949311,【全明星】BOOM瞎卡拉卡,755139.225
1398957,树深时见鹿dear,7609087.246,82,7439521,李云龙：你猜旅长怎么说？,955890.225
548824,鸡鸡·夫斯基,7408826.328,151,28658877,【杨超越】Giao！鬼畜全明星·燃烧我的卡路里,779658.175
8034163,浅澄月,7271878.134,90,4785304,【全明星&超时空要塞Δ】禁忌的边境线,520188
9117212,约谈人参,7096942.896,140,3771373,【矢泽妮可】妮可酱，给我来一发最带感的Niconiconi！,924880.6
40966108,倒悬的橘子,7089432.436,96,20998054,【面筋哥】我的烤面筋天下第一！,877718.1122
24314825,猫店,6946306.787,58,50941399,【经典老番】监狱风云1,1689019.825
808171,吃素的狮子,6715722.146,83,41213189,【春晚鬼畜】宋丹丹：我就是念诗女王！【改革春风吹进门】,1144343.6
26311441,一咸菊菊,6672853.611,60,17449594,【电音单曲】卢本伟牛逼！！！,710427.2
322892,痒局长,6659884.17,111,25308588,【全明星】bboom bboom,390393.525
9068441,冰攻厂BeSo,5824247.783,60,5622854,【吕子乔】极乐净土,959382.0708
159122,惜缘、过去,5803004.933,54,16193902,【马云】浮夸,610570.175
20615621,采紫葳的凌霄子,5785089.757,59,44769755,【李云龙】出山,1250365.75
609687,Mr.Lemon,5515972.853,28,2271112,【循环向】跟着雷总摇起来！Are you OK！,2152390.8
13357338,小巨人猪大星,5288385.257,114,26340521,【DNF】我在DNF上班,716500.475
8679425,此物天下绝响,5280028.086,20,5263217,【小明v老王】大忠若奸,1201945.6
2735222,非桥段,5045730.001,25,3818869,【康熙说唱王朝】部落到帝国·怒斥群臣,1167877.6
2827946,鋃月,4669033.852,68,19536380,【央视段子手】朱广权：我一首rap就是一期节目！,705267.45
59905809,哦呼w,4254635.713,36,13956845,【哲学】绝地求生Dark逃♂杀,549343.125
2192108,王思妇丶,3821945.374,40,14840955,【特效向x修改】哲学之巅终极决战（下集）,517007.475
7508296,疯猴pme,3819280.495,49,6045397,【舞法天女】准备好感受我的朵蜜了吗,719686.1102
688969,绿豆KC,3803688.34,51,4376808,【波澜哥】你嫌弃破烂，抛弃了我T_T,634968.8288
515993,枪弹轨迹,3704808.418,60,48828477,【蔡徐坤】放荡不羁电音之舞,1084661
5374954,深海色带鱼,3522682.578,49,41474332,【和珅＆纪晓岚】素颜（全程高甜）,548165.775
2853209,发光的呆毛君,3361454.953,53,20329574,【五五开】霍元甲,571265.125
2554791,裸奔的爱毛,3307594.04,101,15246508,【小六】吹的是嘛？病名为爱！,209533.2
1565155,起小点是大腿,3279991.66,13,4606803,主播真会玩鬼畜篇01：我是全英雄联盟最骚的骚猪!,1695534.603
1599822,小卡塔克,3147036.266,80,7066547,【川普】电音之王,244120.475
22770727,豪言の经理,3072080.995,13,49868991,【特效向】蔡徐坤VS全明星,1160993.675
11997177,三木刃,2969063.908,41,11879822,"神医""Freestyle  全程高能！""",523927.825
16973851,铁盒里的我,2924353.483,40,27473426,【全明星】That Girl,822695.275
96070394,推背兔の,2834323.915,61,21417197,【不一样的面筋哥】Despacito,457311.175
23604445,上海滩许Van强,2814484.262,30,18794968,炉石♂传说,372167.3
367474,白糖小约,2758341.72,43,9832343,【武林外传】佟掌柜听了都想打人！,350452.1
15269822,蜡烛君瑞泽,2718179.409,39,17056218,【小钻风&孙悟空】我的一个妖怪朋友,341993.525
6249909,冰绎,2715921.335,29,34312795,【五五开】沙漠骆驼,524837.7352
25911961,龙大人不喷火,2668668.797,71,44680273,【马云X马化腾】出钱（出山）,522368.95
69205685,浅笑安然呐,2633579.551,34,19716936,【马化腾】穷开心,671295.525
450084,Ryuuuuuuu,2608404.412,40,28879552,【王境泽】卡路里,1150262.575
7980111,TØm,2600344.951,93,12236018,海口蹦迪王,744864.875
93890857,柴可夫司徒,2473550.259,39,39573474,【六小龄童】Something Just Like This,1268531.025
283538,冷面Lim,2472444.446,11,35945993,【冷面作品】《痔青春·上集》孙笑川 X 吴亦凡,708277.1491
52806762,冷瓜总是那么智障,2463890.154,44,43231115,【自信姐】我觉得我很可爱~（内附高清原版素材）,372397.7578
2621902,鬼畜↑可乐♂,2066421.657,52,18147827,赵本山教你如何吃鸡,483377.25
89338806,纽毕斯,2016517.565,25,41903408,【洪世贤】起骚了（起风了）,616295.625
26291614,一个可丽饼,2000177.683,30,7049564,【阴阳师】非酋disco,484146.95
127623,皓月-moonqshine,1905075.345,87,2544805,【德剧】屌丝元首【全明星助阵】,230894.25
2467568,爱穹妹的小浪浪,1842585.359,122,8936268,震惊！钉宫现场辱骂观众！！！！,419189.6905
30222764,洛温阿特金森,1775314.59,18,32107992,【天才哥】这首黑喂狗，只有天才听得懂！,423714.075
1561008,吴店长,1757433.985,11,6108496,【全明星】一人我饮酒醉,912773.3
477009,半导铁匠,1673285.756,24,2565074,【司徒主唱】~稻香~（来自朗朗的正能量）,387705.15
213216169,山海zoom,1655595.932,13,35423998,《皮影忍者》第一集-PDD卢本伟旭旭宝宝大司马,328325.625
